n,N,n_sim,time_seconds
4,40,100,0.16850816700025462
4,40,500,0.8132270839996636
4,40,1000,1.6937764580070507
4,40,2000,3.273703332990408
4,40,4000,6.87126829099725
4,40,8000,13.816830916999606
4,100,100,0.17270395800005645
4,100,500,0.8157807079987833
4,100,1000,1.8298117499944055
4,100,2000,3.480292708001798
4,100,4000,6.573435625003185
4,100,8000,13.490165999988676
4,500,100,0.19222850000369363
4,500,500,0.9171662919980008
4,500,1000,1.810875875002239
4,500,2000,3.6102584170002956
4,500,4000,7.202849875000538
4,500,8000,14.731546291994164
10,40,100,0.2475649170082761
10,40,500,1.1028447919961764
10,40,1000,2.0877887919923523
10,40,2000,4.083377290997305
10,40,4000,8.480901125003584
10,40,8000,16.745587916011573
10,100,100,0.19367487500130665
10,100,500,0.9293015000002924
10,100,1000,1.8869066670013126
10,100,2000,3.8881506660109153
10,100,4000,7.608471749990713
10,100,8000,15.186216749993037
10,500,100,0.20913237500644755
10,500,500,1.0294561249902472
10,500,1000,2.0892602910025744
10,500,2000,4.144455957997707
10,500,4000,8.385853250001674
10,500,8000,16.440312375008943
20,100,100,0.24355866700352635
20,100,500,1.1930788329918869
20,100,1000,2.3894069169909926
20,100,2000,4.856176624991349
20,100,4000,10.08490245899884
20,100,8000,18.931157917002565
20,500,100,0.2732492089999141
20,500,500,1.3445952080073766
20,500,1000,2.655627750005806
20,500,2000,5.290177292001317
20,500,4000,10.9331284170039
20,500,8000,21.819304292002926
20,2000,100,0.37661954200302716
20,2000,500,1.812093458007439
20,2000,1000,3.6942832920030924
20,2000,2000,7.287507000000915
20,2000,4000,14.56821458399645
20,2000,8000,29.283439666003687
