n,N,n_sim,time_seconds
4,40,100,0.07324941598926671
4,40,500,0.3216804999974556
4,40,1000,0.6632481249980628
4,40,2000,1.2588444589928258
4,40,4000,2.524598582996987
4,40,8000,5.123473166997428
4,100,100,0.06121374999929685
4,100,500,0.2999400420085294
4,100,1000,0.5932692909991601
4,100,2000,1.2262935000035213
4,100,4000,2.427931583006284
4,100,8000,4.916155290993629
4,500,100,0.08463079200009815
4,500,500,0.39759079199575353
4,500,1000,0.8317555409885244
4,500,2000,1.6712372500041965
4,500,4000,3.327071542007616
4,500,8000,6.7966558749903925
10,40,100,0.10890424999524839
10,40,500,0.5083603329985635
10,40,1000,0.9670461249916116
10,40,2000,2.081414499989478
10,40,4000,4.0448884579964215
10,40,8000,8.520713917008834
10,100,100,0.13657175000116695
10,100,500,0.3811291249876376
10,100,1000,0.8459877919958672
10,100,2000,1.5832463330007158
10,100,4000,3.281920084002195
10,100,8000,6.227348457992775
10,500,100,0.10082325000257697
10,500,500,0.5025791249936447
10,500,1000,0.9895349580037873
10,500,2000,1.951006375005818
10,500,4000,3.9214130000036675
10,500,8000,7.87884987500729
20,100,100,0.09709679200022947
20,100,500,0.4559516250010347
20,100,1000,0.9339967080013594
20,100,2000,1.8493082920031156
20,100,4000,3.669922665998456
20,100,8000,7.351612957994803
20,500,100,0.12505354199674912
20,500,500,0.6331605419982225
20,500,1000,1.1936170410044724
20,500,2000,2.4484792910079705
20,500,4000,4.837877791986102
20,500,8000,9.612188125000102
20,2000,100,0.22777279099682346
20,2000,500,1.1342125419905642
20,2000,1000,2.2433038749877596
20,2000,2000,4.4778544579894515
20,2000,4000,8.92410133399244
20,2000,8000,17.832493624999188
